Date	Rate (Avg)
04-2010	4.605
05-2010	4.495
06-2010	4.395
07-2010	4.255
08-2010	4.095
09-2010	3.995
10-2010	3.875
11-2010	3.895
12-2010	4.275
01-2011	4.336
02-2011	4.435
03-2011	4.295
04-2011	4.275
05-2011	4.035
06-2011	3.905
07-2011	3.895
08-2011	3.675
09-2011	3.505
10-2011	3.596
11-2011	3.525
12-2011	3.496
01-2012	3.446
02-2012	3.406
03-2012	3.446
04-2012	3.355
05-2012	3.249
06-2012	3.168
07-2012	3.065
08-2012	3.045
09-2012	2.965
10-2012	2.875
11-2012	2.875
12-2012	2.875
01-2013	2.915
02-2013	3.016
03-2013	2.975
04-2013	2.875
05-2013	2.935
06-2013	3.385
07-2013	3.676
08-2013	3.705
09-2013	3.735
10-2013	3.485
11-2013	3.515
12-2013	3.665
01-2014	3.683
02-2014	3.565
03-2014	3.545
04-2014	3.575
05-2014	3.475
06-2014	3.424
07-2014	3.425
08-2014	3.435
09-2014	3.464
10-2014	3.364
11-2014	3.344
12-2014	3.315
01-2015	3.144
02-2015	3.195
03-2015	3.225
04-2015	3.120
05-2015	3.232
06-2015	3.375
07-2015	3.392
08-2015	3.315
09-2015	3.287
10-2015	3.195
11-2015	3.345
12-2015	3.364
01-2016	3.309
02-2016	3.114
03-2016	3.101
04-2016	3.024
05-2016	2.996
06-2016	2.990
07-2016	2.894
08-2016	2.904
09-2016	2.914
10-2016	2.922
11-2016	3.184
12-2016	3.584
01-2017	3.544
02-2017	3.534
03-2017	3.564
04-2017	3.454
05-2017	3.409
06-2017	3.344
